P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10),P(topic 11),P(topic 12),P(topic 13),P(topic 14),P(topic 15),P(topic 16),P(topic 17),P(topic 18),P(topic 19),P(topic 20)
0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761889127622,0.008445761887356929,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.008445761861503396,0.8395305245779578,0.008445761861503396,0.008445761861503396
0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.24558553242484646,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.01420084613337498,0.4987992371744039,0.01420084613337498,0.01420084613337498
0.010152426360447886,0.010152426360447888,0.010152426360447888,0.010152426360447888,0.010152426360447888,0.01015242636044788,0.010152426360447888,0.010152431266265133,0.010152426360447888,0.010152426360447888,0.010152426360447888,0.010152426366080287,0.01015242636044788,0.010152426360447888,0.010152426360447888,0.010152426360447888,0.010152426360447888,0.8071038942400407,0.010152426360447888,0.010152426360447888
0.0094429247655787,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.00944292482950988,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.009442924806916733,0.009442924797910826,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.0094429247655787,0.8205844293164035,0.0094429247655787,0.0094429247655787
0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846459445804676,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.009846458831623136,0.812917281584979,0.009846458831623136,0.009846458831623136
0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.6445273397681968,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021631095264,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.22851827188708937,0.007053021571389331,0.007053021571389331
0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595545896563,0.00884359553270027,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.008843595507106195,0.8319716853005978,0.008843595507106195,0.008843595507106195
0.012171408499510337,0.01217140849951034,0.01217140849951034,0.01217140849951034,0.012171408499510337,0.12185843333830237,0.012171408499510337,0.012171408499510337,0.01217140849951034,0.012171408499510337,0.012171408499510337,0.012171409358856956,0.012171408499510336,0.01217140849951034,0.012171408499510337,0.012171408499510337,0.01217140849951034,0.659056212811165,0.01217140849951034,0.01217140849951034
0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.6445273397681968,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021631095264,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.007053021571389331,0.22851827188708937,0.007053021571389331,0.007053021571389331
0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946490969122,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.012596946413161069,0.7606580180721317,0.012596946413161069,0.012596946413161069
